Species,Port,Year,Month,Quantity,Value
Capelin,Akranes,2017,9,0,0
Capelin,Akranes,2017,10,0,0
Capelin,Akranes,2017,11,0,0
Capelin,Akranes,2017,12,0,0
Capelin,Akranes,2018,1,0,0
Capelin,Akranes,2018,2,705,13066
Capelin,Akranes,2018,3,9323,171886
Capelin,Akranes,2018,4,0,0
Capelin,Akranes,2018,5,0,0
Capelin,Akranes,2018,6,0,0
Capelin,Akranes,2018,7,0,0
Capelin,Akranes,2018,8,0,0
Capelin,Akranes,2018,9,0,0
Capelin,Akranes,2018,10,0,0
Capelin,Akranes,2018,11,0,0
Capelin,Akranes,2018,12,0,0
Capelin,Akranes,2019,1,0,0
Capelin,Akranes,2019,2,0,0
Capelin,Akranes,2019,3,0,0
Capelin,Akranes,2019,4,0,0
Capelin,Akranes,2019,5,0,0
Capelin,Akranes,2019,6,0,0
Capelin,Akranes,2019,7,0,0
Capelin,Akranes,2019,8,0,0
Capelin,Akranes,2019,9,0,0
Capelin,Akranes,2019,10,0,0
Capelin,Akranes,2019,11,0,0
Capelin,Akranes,2019,12,0,0
Capelin,Akranes,2020,1,0,0
Capelin,Akranes,2020,2,0,0
Capelin,Akranes,2020,3,0,0
Capelin,Akranes,2020,4,0,0
Capelin,Akranes,2020,5,0,0
Capelin,Akranes,2020,6,0,0
Capelin,Akranes,2020,7,0,0
Capelin,Akranes,2020,8,0,0
Capelin,Akranes,2020,9,0,0
Capelin,Akranes,2020,10,0,0
Capelin,Akranes,2020,11,0,0
Capelin,Akranes,2020,12,0,0
Capelin,Akranes,2021,1,0,0
Capelin,Akranes,2021,2,0,0
Capelin,Akranes,2021,3,6397,153857
Capelin,Akranes,2021,4,0,0
Capelin,Akranes,2021,5,0,0
Capelin,Akranes,2021,6,0,0
Capelin,Akranes,2021,7,0,0
Capelin,Akranes,2021,8,0,0
Capelin,Akranes,2021,9,0,0
Capelin,Akranes,2021,10,0,0
Capelin,Akranes,2021,11,0,0
Capelin,Akranes,2021,12,0,0
Capelin,Akranes,2022,1,12570,430100
Capelin,Akranes,2022,2,10918,341062
Capelin,Akranes,2022,3,15310,362324
Capelin,Akranes,2022,4,0,0
Capelin,Akranes,2022,5,0,0
Capelin,Akranes,2022,6,0,0
Capelin,Akranes,2022,7,0,0
Capelin,Akranes,2022,8,0,0
Capelin,Akranes,2022,9,0,0
Capelin,Akranes,2022,10,0,0
Capelin,Akranes,2022,11,0,0
Capelin,Akranes,2022,12,0,0
Capelin,Akranes,2023,1,0,0
Capelin,Akranes,2023,2,0,0
Capelin,Akranes,2023,3,21309,671256
Capelin,Akranes,2023,4,0,0
Capelin,Akranes,2023,5,0,0
Capelin,Akranes,2023,6,0,0
Capelin,Akranes,2023,7,0,0
Capelin,Akranes,2023,8,0,0
Capelin,Akranes,2023,9,0,0
Capelin,Akranes,2023,10,0,0
Capelin,Akranes,2023,11,0,0
Capelin,Akranes,2023,12,0,0
Capelin,Akranes,2024,1,0,0
Capelin,Akranes,2024,2,0,0
Capelin,Akranes,2024,3,0,0
Capelin,Akranes,2024,4,0,0
Capelin,Akranes,2024,5,0,0
Capelin,Akranes,2024,6,0,0
Capelin,Akranes,2024,7,0,0
Capelin,Akranes,2024,8,0,0
Capelin,Akranes,2024,9,0,0
Capelin,Akranes,2024,10,0,0
Capelin,Akranes,2024,11,0,0
Capelin,Akranes,2024,12,0,0
Capelin,Akureyri,1982,1,0,0
Capelin,Akureyri,1982,2,0,0
Capelin,Akureyri,1982,3,0,0
Capelin,Akureyri,1982,4,0,0
